Name,Parent,Level,Location,Status,CIK
"NNGC ACQUISITION, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
NORTH AMERICAN CASUALTY CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
NORTHERN ELECTRIC PLC,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
NORTHERN NATURAL GAS CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(3, 'Return one result, better check what went wrong')",
NORTHERN POWERGRID NORTHEAST LIMITED,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
NORTHERN POWERGRID YORKSHIRE PLC,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
NORTHERN POWERGRID HOLDINGS CO,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
NORTHERN POWERGRID LIMITED,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
NORTHERN POWERGRID UK HOLDINGS,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
NV ENERGY INC,BERKSHIRE HATHAWAY INC,1,Nevada,"(2, 'Multiple search results found')",
"NVE HOLDINGS, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(2, 'Multiple search results found')",
OAK RIVER INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
OLD UNITED CASUALTY CO,BERKSHIRE HATHAWAY INC,1,Kansas,"(1, 'Company is not in SEC/Name Misspelled')",
OLD UNITED LIFE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Arizona,"(1, 'Company is not in SEC/Name Misspelled')",
ORIENTAL TRADING CO INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
OTC BRANDS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
OTC WORLDWIDE HOLDINGS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
PACIFICORP,BERKSHIRE HATHAWAY INC,1,Oregon,"(2, 'Multiple search results found')",
PCC AIRFOILS LLC,BERKSHIRE HATHAWAY INC,1,Mexico,"(4, 'Non-US Company')",
PCC STRUCTURALS INC,BERKSHIRE HATHAWAY INC,1,Oregon,"(5, 'Cannot find EX-21.1 for Company')",1278983
PLICO INC,BERKSHIRE HATHAWAY INC,1,Oklahoma,"(2, 'Multiple search results found')",
PPW HOLDINGS LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
PRECISION CASTPARTS CORP,BERKSHIRE HATHAWAY INC,1,Oregon,"(0, 'Success')",79958
PRECISION STEEL WAREHOUSE INC,BERKSHIRE HATHAWAY INC,1,Illinois,"(1, 'Company is not in SEC/Name Misspelled')",
